,"p, q, z, k",Loss,SE,Upper,Lower,Penalty
0,"[3, 1, 1, 1]",0.0027845403458923103,4.530359377910379e-07,0.0027854464177678923,0.0027836342740167283,0.009283819628647215
1,"[3, 1, 1, 2]",0.0027525118249468504,3.633644044557091e-07,0.002753238553755762,0.002751785096137939,0.017241379310344827
2,"[3, 1, 1, 3]",0.0027423254889436064,2.4413855125385424e-07,0.0027428137660461143,0.0027418372118410985,0.025198938992042442
3,"[3, 1, 2, 1]",0.0027811437076888977,4.154034390660219e-07,0.0027819745145670296,0.002780312900810766,0.010610079575596816
4,"[3, 1, 2, 2]",0.0027516123140230776,3.3772118920813967e-07,0.002752287756401494,0.0027509368716446612,0.01989389920424403
5,"[3, 1, 2, 3]",0.0027429772168397902,2.242548317241107e-07,0.0027434257265032385,0.002742528707176342,0.029177718832891247
6,"[3, 1, 3, 1]",0.002778519268613309,4.096596042747066e-07,0.002779338587821858,0.0027776999494047595,0.011936339522546418
7,"[3, 1, 3, 2]",0.0027507586381398143,3.329257775487817e-07,0.002751424489694912,0.0027500927865847166,0.022546419098143235
8,"[3, 1, 3, 3]",0.0027429816196672618,2.2189684605001503e-07,0.002743425413359362,0.0027425378259751617,0.033156498673740056
9,"[3, 2, 1, 1]",0.002775807313155383,4.6401763603014405e-07,0.0027767353484274434,0.0027748792778833228,0.010610079575596816
10,"[3, 2, 1, 2]",0.0027471872745081782,3.650297204579051e-07,0.002747917333949094,0.0027464572150672625,0.01989389920424403
11,"[3, 2, 1, 3]",0.0027382430387660863,2.4993843711599954e-07,0.002738742915640318,0.0027377431618918545,0.029177718832891247
12,"[3, 2, 2, 1]",0.0027717810147441925,4.199438024463857e-07,0.002772620902349085,0.0027709411271393,0.011936339522546418
13,"[3, 2, 2, 2]",0.0027449927502311766,3.3042687066676406e-07,0.0027456536039725103,0.002744331896489843,0.022546419098143235
14,"[3, 2, 2, 3]",0.0027380569814704357,2.2148300328780092e-07,0.0027384999474770115,0.00273761401546386,0.033156498673740056
15,"[3, 2, 3, 1]",0.0027689263271167873,4.0607628350250527e-07,0.002769738479683792,0.0027681141745497825,0.013262599469496022
16,"[3, 2, 3, 2]",0.0027453545900061726,3.2659201273395596e-07,0.0027460077740316404,0.0027447014059807048,0.025198938992042442
17,"[3, 2, 3, 3]",0.002739730984903872,2.2450868149229523e-07,0.002740180002266857,0.0027392819675408873,0.03713527851458886
18,"[3, 3, 1, 1]",0.002752450932748616,5.437540500988721e-07,0.0027535384408488134,0.002751363424648418,0.011936339522546418
19,"[3, 3, 1, 2]",0.0027147780708037315,3.86429012200355e-07,0.002715550928828132,0.002714005212779331,0.022546419098143235
20,"[3, 3, 1, 3]",0.002704994280356914,2.425030924966724e-07,0.002705479286541907,0.0027045092741719207,0.033156498673740056
21,"[3, 3, 2, 1]",0.0027453319285996257,4.58612677991822e-07,0.002746249153955609,0.0027444147032436423,0.013262599469496022
22,"[3, 3, 2, 2]",0.00271063887514174,3.569654150943573e-07,0.0027113528059719287,0.002709924944311551,0.025198938992042442
23,"[3, 3, 2, 3]",0.0027011446538381277,2.2528114416428846e-07,0.0027015952161264564,0.002700694091549799,0.03713527851458886
24,"[3, 3, 3, 1]",0.0027416841755621133,4.0188180150496654e-07,0.0027424879391651233,0.0027408804119591033,0.014588859416445624
25,"[3, 3, 3, 2]",0.002708580831531435,3.298417137083959e-07,0.002709240514958852,0.0027079211481040185,0.027851458885941646
26,"[3, 3, 3, 3]",0.00270105745177716,2.0704996571957108e-07,0.0027014715517085994,0.002700643351845721,0.04111405835543767
