,"lr, lambda, dropout","p, q, z, k",Validation Loss,exceptions
0,"[0.0001, 0, 0.1]","[1, 3, 1, 2]",0.08277614406310022,0.052980132450331126
1,"[0.0001, 0, 0.2]","[1, 3, 1, 2]",0.08285627391422168,0.052980132450331126
2,"[0.0001, 0.001, 0.1]","[1, 3, 1, 2]",0.08441546057118103,0.059602649006622516
3,"[0.0001, 0.001, 0.2]","[1, 3, 1, 2]",0.08450848988024517,0.052980132450331126
4,"[0.0001, 0.01, 0.1]","[1, 3, 1, 2]",0.09727444152347743,0.059602649006622516
5,"[0.0001, 0.01, 0.2]","[1, 3, 1, 2]",0.09740900264121592,0.052980132450331126
6,"[0.0001, 0.1, 0.1]","[1, 3, 1, 2]",0.22459547564387322,0.059602649006622516
7,"[0.0001, 0.1, 0.2]","[1, 3, 1, 2]",0.22469801891595126,0.052980132450331126
8,"[0.0001, 1, 0.1]","[1, 3, 1, 2]",1.5040902291238307,0.059602649006622516
9,"[0.0001, 1, 0.2]","[1, 3, 1, 2]",1.5041700795292854,0.052980132450331126
10,"[0.0001, 10, 0.1]","[1, 3, 1, 2]",14.300672564506531,0.059602649006622516
11,"[0.0001, 10, 0.2]","[1, 3, 1, 2]",14.30075094819069,0.052980132450331126
