,"lr, lambda, dropout","p, q, z, k",Validation Loss,exceptions
0,"[0.001, 0, 0.1]","[1, 3, 3, 2]",0.002494478006847203,0.033112582781456956
1,"[0.001, 0, 0.2]","[1, 3, 3, 2]",0.0024993838905356825,0.033112582781456956
2,"[0.001, 0.001, 0.1]","[1, 3, 3, 2]",0.002690788903273642,0.033112582781456956
3,"[0.001, 0.001, 0.2]","[1, 3, 3, 2]",0.002692061534617096,0.033112582781456956
4,"[0.001, 0.01, 0.1]","[1, 3, 3, 2]",0.0026121554034762083,0.033112582781456956
5,"[0.001, 0.01, 0.2]","[1, 3, 3, 2]",0.0026108349743299186,0.033112582781456956
6,"[0.001, 0.1, 0.1]","[1, 3, 3, 2]",0.002621476426720619,0.026490066225165563
7,"[0.001, 0.1, 0.2]","[1, 3, 3, 2]",0.002621534757781774,0.026490066225165563
8,"[0.001, 1, 0.1]","[1, 3, 3, 2]",0.0026422978518530725,0.026490066225165563
9,"[0.001, 1, 0.2]","[1, 3, 3, 2]",0.002640697774477303,0.026490066225165563
10,"[0.001, 10, 0.1]","[1, 3, 3, 2]",0.002863477228675038,0.026490066225165563
11,"[0.001, 10, 0.2]","[1, 3, 3, 2]",0.0028638802841305733,0.026490066225165563
