,"lr, lambda, dropout","p, q, z, k",Validation Loss,exceptions
0,"[0.01, 0, 0.1]","[1, 3, 3, 2]",0.0025834155222401022,0.019867549668874173
1,"[0.01, 0, 0.2]","[1, 3, 3, 2]",0.002612809662241489,0.019867549668874173
2,"[0.01, 0.001, 0.1]","[1, 3, 3, 2]",0.002753365901298821,0.033112582781456956
3,"[0.01, 0.001, 0.2]","[1, 3, 3, 2]",0.002769769539590925,0.026490066225165563
4,"[0.01, 0.01, 0.1]","[1, 3, 3, 2]",0.0028040268016047776,0.019867549668874173
5,"[0.01, 0.01, 0.2]","[1, 3, 3, 2]",0.0027754225581884382,0.019867549668874173
6,"[0.01, 0.1, 0.1]","[1, 3, 3, 2]",0.002787781299557537,0.019867549668874173
7,"[0.01, 0.1, 0.2]","[1, 3, 3, 2]",0.002768140351399779,0.019867549668874173
8,"[0.01, 1, 0.1]","[1, 3, 3, 2]",0.0027814604504965246,0.019867549668874173
9,"[0.01, 1, 0.2]","[1, 3, 3, 2]",0.0027770247985608875,0.019867549668874173
10,"[0.01, 10, 0.1]","[1, 3, 3, 2]",0.002779443997424096,0.019867549668874173
11,"[0.01, 10, 0.2]","[1, 3, 3, 2]",0.0027681144047528505,0.019867549668874173
12,"[0.1, 0, 0.1]","[1, 3, 3, 2]",0.0031663062097504733,0.013245033112582781
13,"[0.1, 0, 0.2]","[1, 3, 3, 2]",0.0032516154134646057,0.013245033112582781
14,"[0.1, 0.001, 0.1]","[1, 3, 3, 2]",0.0032001983048394324,0.019867549668874173
15,"[0.1, 0.001, 0.2]","[1, 3, 3, 2]",0.003365597492083907,0.019867549668874173
16,"[0.1, 0.01, 0.1]","[1, 3, 3, 2]",0.0032730779610574247,0.019867549668874173
17,"[0.1, 0.01, 0.2]","[1, 3, 3, 2]",0.0034425214724615218,0.013245033112582781
18,"[0.1, 0.1, 0.1]","[1, 3, 3, 2]",0.0033279960276558994,0.019867549668874173
19,"[0.1, 0.1, 0.2]","[1, 3, 3, 2]",0.0034380033100023864,0.019867549668874173
20,"[0.1, 1, 0.1]","[1, 3, 3, 2]",0.003502163691446185,0.013245033112582781
21,"[0.1, 1, 0.2]","[1, 3, 3, 2]",0.003446010297629982,0.019867549668874173
22,"[0.1, 10, 0.1]","[1, 3, 3, 2]",0.0034025894943624734,0.019867549668874173
23,"[0.1, 10, 0.2]","[1, 3, 3, 2]",0.0033285290375351904,0.019867549668874173
