,"lr, lambda, dropout","p, q, z, k",Validation Loss w/ Penalty,Val. Loss,exceptions
0,"[0.001, 0, 0.1]","[1, 3, 2, 2]",0.0025012593646533787,0.002479673493675033,0.033112582781456956
1,"[0.001, 0, 0.2]","[1, 3, 2, 2]",0.0025048002297990025,0.0024933384065885453,0.033112582781456956
2,"[0.001, 0.001, 0.1]","[1, 3, 2, 2]",0.002666876551229507,0.002569734345119208,0.033112582781456956
3,"[0.001, 0.001, 0.2]","[1, 3, 2, 2]",0.0026694901986047625,0.002572325153852914,0.033112582781456956
4,"[0.001, 0.01, 0.1]","[1, 3, 2, 2]",0.00260896377498284,0.002588884622644889,0.033112582781456956
5,"[0.001, 0.01, 0.2]","[1, 3, 2, 2]",0.0026069313916377724,0.0025900145774638457,0.033112582781456956
