,"lr, lambda, dropout","p, q, z, k",Validation Loss,exceptions
0,"[0.0001, 0, 0.1]","[1, 3, 2, 2]",0.08213895666180178,0.06622516556291391
1,"[0.0001, 0, 0.2]","[1, 3, 2, 2]",0.08223110109334812,0.059602649006622516
2,"[0.0001, 0.001, 0.1]","[1, 3, 2, 2]",0.08394791787490248,0.0728476821192053
3,"[0.0001, 0.001, 0.2]","[1, 3, 2, 2]",0.0840541947237216,0.059602649006622516
4,"[0.0001, 0.01, 0.1]","[1, 3, 2, 2]",0.09726585988886655,0.0728476821192053
5,"[0.0001, 0.01, 0.2]","[1, 3, 2, 2]",0.09739578107371927,0.059602649006622516
6,"[0.0001, 0.1, 0.1]","[1, 3, 2, 2]",0.22795288246124984,0.059602649006622516
7,"[0.0001, 0.1, 0.2]","[1, 3, 2, 2]",0.22804343458265067,0.059602649006622516
8,"[0.0001, 1, 0.1]","[1, 3, 2, 2]",1.5407873299717902,0.059602649006622516
9,"[0.0001, 1, 0.2]","[1, 3, 2, 2]",1.540853623151779,0.059602649006622516
10,"[0.0001, 10, 0.1]","[1, 3, 2, 2]",14.670818157196045,0.059602649006622516
11,"[0.0001, 10, 0.2]","[1, 3, 2, 2]",14.670881004333497,0.059602649006622516
