,"lr, lambda, dropout","p, q, z, k",Validation Loss,exceptions
0,"[0.001, 0, 0.1]","[1, 3, 1, 2]",0.002508038841187954,0.033112582781456956
1,"[0.001, 0, 0.2]","[1, 3, 1, 2]",0.002509242936503142,0.033112582781456956
2,"[0.001, 0.001, 0.1]","[1, 3, 1, 2]",0.00271588044706732,0.033112582781456956
3,"[0.001, 0.001, 0.2]","[1, 3, 1, 2]",0.002722348375245929,0.033112582781456956
4,"[0.001, 0.01, 0.1]","[1, 3, 1, 2]",0.002615140581037849,0.033112582781456956
5,"[0.001, 0.01, 0.2]","[1, 3, 1, 2]",0.002615857208147645,0.033112582781456956
6,"[0.001, 0.1, 0.1]","[1, 3, 1, 2]",0.0026310187974013387,0.026490066225165563
7,"[0.001, 0.1, 0.2]","[1, 3, 1, 2]",0.0026312974467873574,0.026490066225165563
8,"[0.001, 1, 0.1]","[1, 3, 1, 2]",0.0027677061199210583,0.026490066225165563
9,"[0.001, 1, 0.2]","[1, 3, 1, 2]",0.002766811193432659,0.026490066225165563
10,"[0.001, 10, 0.1]","[1, 3, 1, 2]",0.004136936427094042,0.026490066225165563
11,"[0.001, 10, 0.2]","[1, 3, 1, 2]",0.004137400146573782,0.026490066225165563
