,"lr, lambda, dropout","p, q, z, k",Validation Loss,exceptions
0,"[0.0001, 0, 0.1]","[1, 3, 3, 2]",0.0815706927422434,0.07947019867549669
1,"[0.0001, 0, 0.2]","[1, 3, 3, 2]",0.0816588854813017,0.0728476821192053
2,"[0.0001, 0.001, 0.1]","[1, 3, 3, 2]",0.08348488969262689,0.09271523178807947
3,"[0.0001, 0.001, 0.2]","[1, 3, 3, 2]",0.08358411364257336,0.0728476821192053
4,"[0.0001, 0.01, 0.1]","[1, 3, 3, 2]",0.09706111689098179,0.10596026490066225
5,"[0.0001, 0.01, 0.2]","[1, 3, 3, 2]",0.09718509775586426,0.08609271523178808
6,"[0.0001, 0.1, 0.1]","[1, 3, 3, 2]",0.22858829997479915,0.08609271523178808
7,"[0.0001, 0.1, 0.2]","[1, 3, 3, 2]",0.22867190890014172,0.0728476821192053
8,"[0.0001, 1, 0.1]","[1, 3, 3, 2]",1.5493313902616501,0.08609271523178808
9,"[0.0001, 1, 0.2]","[1, 3, 3, 2]",1.5493924361467362,0.059602649006622516
10,"[0.0001, 10, 0.1]","[1, 3, 3, 2]",14.758467221260071,0.08609271523178808
11,"[0.0001, 10, 0.2]","[1, 3, 3, 2]",14.758524861335754,0.059602649006622516
