,"lr, lambda, dropout","p, q, z, k",Validation Loss,exceptions
0,"[0.01, 0, 0.1]","[1, 3, 2, 2]",0.002585577971767634,0.019867549668874173
1,"[0.01, 0, 0.2]","[1, 3, 2, 2]",0.0025912871886976064,0.019867549668874173
2,"[0.01, 0.001, 0.1]","[1, 3, 2, 2]",0.002793933032080531,0.019867549668874173
3,"[0.01, 0.001, 0.2]","[1, 3, 2, 2]",0.002757627402897924,0.026490066225165563
4,"[0.01, 0.01, 0.1]","[1, 3, 2, 2]",0.002800256470218301,0.019867549668874173
5,"[0.01, 0.01, 0.2]","[1, 3, 2, 2]",0.0027775924978777765,0.019867549668874173
6,"[0.01, 0.1, 0.1]","[1, 3, 2, 2]",0.00278770838631317,0.019867549668874173
7,"[0.01, 0.1, 0.2]","[1, 3, 2, 2]",0.0027590454858727755,0.019867549668874173
8,"[0.01, 1, 0.1]","[1, 3, 2, 2]",0.0027802264713682233,0.019867549668874173
9,"[0.01, 1, 0.2]","[1, 3, 2, 2]",0.0027539237355813386,0.019867549668874173
10,"[0.01, 10, 0.1]","[1, 3, 2, 2]",0.002769626115914434,0.019867549668874173
11,"[0.01, 10, 0.2]","[1, 3, 2, 2]",0.002771103580016643,0.019867549668874173
12,"[0.1, 0, 0.1]","[1, 3, 2, 2]",0.0031603605253621935,0.013245033112582781
13,"[0.1, 0, 0.2]","[1, 3, 2, 2]",0.003195872497744858,0.013245033112582781
14,"[0.1, 0.001, 0.1]","[1, 3, 2, 2]",0.003444650403689593,0.019867549668874173
15,"[0.1, 0.001, 0.2]","[1, 3, 2, 2]",0.0034067169856280086,0.019867549668874173
16,"[0.1, 0.01, 0.1]","[1, 3, 2, 2]",0.003373150918632746,0.013245033112582781
17,"[0.1, 0.01, 0.2]","[1, 3, 2, 2]",0.0032697014813311397,0.019867549668874173
18,"[0.1, 0.1, 0.1]","[1, 3, 2, 2]",0.003412387277930975,0.019867549668874173
19,"[0.1, 0.1, 0.2]","[1, 3, 2, 2]",0.0032813726319000126,0.019867549668874173
20,"[0.1, 1, 0.1]","[1, 3, 2, 2]",0.0034316711453720927,0.019867549668874173
21,"[0.1, 1, 0.2]","[1, 3, 2, 2]",0.003438605268020183,0.019867549668874173
22,"[0.1, 10, 0.1]","[1, 3, 2, 2]",0.0032775309472344817,0.019867549668874173
23,"[0.1, 10, 0.2]","[1, 3, 2, 2]",0.0034258352778851987,0.019867549668874173
