,"lr, lambda, dropout","p, q, z, k",Validation Loss w/ Penalty,Val. Loss,exceptions
0,"[0.0001, 0, 0.2]","[1, 3, 2, 2]",0.08223110109334812,0.0026436263530966514,0.059602649006622516
1,"[0.0001, 0.001, 0.2]","[1, 3, 2, 2]",0.0840541947237216,0.0026504760975432514,0.059602649006622516
2,"[0.0001, 0.01, 0.2]","[1, 3, 2, 2]",0.09739578107371927,0.0026396896503549216,0.059602649006622516
3,"[0.0001, 0.1, 0.2]","[1, 3, 2, 2]",0.22804343458265067,0.00260742619885544,0.059602649006622516
4,"[0.0001, 1, 0.2]","[1, 3, 2, 2]",1.540853623151779,0.0025943745033443493,0.059602649006622516
5,"[0.0001, 10, 0.2]","[1, 3, 2, 2]",14.670881004333497,0.0025928354459831284,0.059602649006622516
